Unix,Date,Symbol,Open,High,Low,Close,Volume SOL,Volume USDT,tradecount
1708383600000,2024-02-19 23:00:00,SOLUSDT,112.06,112.29,111.1,111.53,126537.35,14120889.1125,16239
1708380000000,2024-02-19 22:00:00,SOLUSDT,112.8,113.06,111.83,112.06,102008.63,11469435.8189,13403
1708376400000,2024-02-19 21:00:00,SOLUSDT,112.07,112.87,112.0,112.79,73033.69,8216116.4124,11110
1708372800000,2024-02-19 20:00:00,SOLUSDT,111.93,112.45,111.56,112.08,64039.92,7174127.8733,10174
1708369200000,2024-02-19 19:00:00,SOLUSDT,111.96,112.29,111.48,111.94,103350.93,11560526.9366,15365
1708365600000,2024-02-19 18:00:00,SOLUSDT,112.61,112.78,111.88,111.96,160996.51,18068117.7828,20588
1708362000000,2024-02-19 17:00:00,SOLUSDT,112.67,113.66,112.31,112.6,211432.09,23866965.6493,28347
1708358400000,2024-02-19 16:00:00,SOLUSDT,113.69,114.17,112.32,112.67,219420.97,24861915.5905,31063
1708354800000,2024-02-19 15:00:00,SOLUSDT,113.25,114.87,113.25,113.69,273055.5,31163343.7068,36807
1708351200000,2024-02-19 14:00:00,SOLUSDT,112.96,113.35,112.2,113.24,187774.95,21196254.8887,28481
1708347600000,2024-02-19 13:00:00,SOLUSDT,111.89,114.8,111.72,112.95,557775.61,63390276.7253,71788
1708344000000,2024-02-19 12:00:00,SOLUSDT,112.67,112.77,111.85,111.89,188030.01,21122764.7737,22758
1708340400000,2024-02-19 11:00:00,SOLUSDT,111.94,112.95,111.83,112.67,152667.63,17175162.9206,20326
1708336800000,2024-02-19 10:00:00,SOLUSDT,111.85,112.26,110.75,111.94,204207.0,22787768.9238,27889
1708333200000,2024-02-19 09:00:00,SOLUSDT,111.69,112.5,111.67,111.85,158250.29,17736326.8568,17450
1708329600000,2024-02-19 08:00:00,SOLUSDT,113.23,113.37,111.6,111.69,121330.24,13631814.1398,20694
1708326000000,2024-02-19 07:00:00,SOLUSDT,112.44,113.65,112.2,113.22,137565.96,15546581.0201,19933
